"source","destination","min","avg","max","mdev"
"Canada","Canada","0.135","0.157","0.429","0.017",
"Canada","Capetown","221.287","221.316","222.182","0.037",
"Canada","Frankfrut","89.972","89.997","90.398","0.024",
"Canada","Hongkong","183.239","187.657","229.277","6.209",
"Canada","Ireland","68.613","68.647","69.415","0.042",
"Canada","London","77.829","77.932","78.340","0.083",
"Canada","Milan","99.326","99.367","100.067","0.046",
"Canada","N.California","77.845","77.876","78.351","0.026",
"Canada","N.Virginia","14.057","14.092","14.408","0.026",
"Canada","Ohio","25.269","26.041","28.352","0.949",
"Canada","Oregon","59.160","59.203","59.749","0.040",
"Canada","Osaka","148.404","148.617","149.952","0.435",
"Canada","Paris","84.186","84.311","85.160","0.101",
"Canada","Saopaulo","123.499","123.529","124.168","0.026",
"Canada","Seoul","173.242","173.277","173.791","0.023",
"Canada","Singapore","212.020","212.437","214.669","0.464",
"Canada","Spain","104.867","105.032","107.209","0.169",
"Canada","Stockholm","105.839","105.873","106.153","0.018",
"Canada","Sydney","196.905","196.947","198.689","0.068",
"Canada","Tokyo","143.541","143.569","144.213","0.029",
"Canada","Zurich","91.597","91.624","92.234","0.027",
"Capetown","Canada","225.146","225.234","226.016","0.136",
"Capetown","Capetown","0.092","0.115","0.224","0.009",
"Capetown","Frankfrut","150.962","154.123","154.909","1.429",
"Capetown","Hongkong","240.356","240.406","242.685","0.081",
"Capetown","Ireland","157.795","157.835","158.552","0.031",
"Capetown","London","145.830","146.237","150.280","1.157",
"Capetown","Milan","143.715","143.751","144.256","0.034",
"Capetown","N.California","281.564","288.071","290.063","2.667",
"Capetown","N.Virginia","222.916","225.961","227.643","1.920",
"Capetown","Ohio","234.067","235.816","240.854","2.763",
"Capetown","Oregon","270.628","273.389","274.032","0.895",
"Capetown","Osaka","274.502","275.820","280.666","1.670",
"Capetown","Paris","137.912","137.933","138.479","0.017",
"Capetown","Saopaulo","331.023","331.048","331.319","0.016",
"Capetown","Seoul","281.584","282.154","285.948","1.422",
"Capetown","Singapore","206.170","206.199","206.473","0.017",
"Capetown","Spain","139.979","140.005","140.486","0.027",
"Capetown","Stockholm","171.028","171.060","171.174","0.011",
"Capetown","Sydney","301.485","302.054","305.909","1.427",
"Capetown","Tokyo","281.416","281.448","281.959","0.021",
"Capetown","Zurich","154.824","154.848","154.949","0.010",
"Frankfrut","Canada","91.943","91.977","92.845","0.029",
"Frankfrut","Capetown","150.596","150.614","150.709","0.008",
"Frankfrut","Frankfrut","0.154","0.182","0.249","0.009",
"Frankfrut","Hongkong","190.243","192.995","196.427","1.532",
"Frankfrut","Ireland","25.700","25.722","25.920","0.012",
"Frankfrut","London","14.730","14.760","15.455","0.029",
"Frankfrut","Milan","9.734","9.763","10.277","0.031",
"Frankfrut","N.California","152.723","152.747","152.818","0.008",
"Frankfrut","N.Virginia","90.805","90.852","91.232","0.053",
"Frankfrut","Ohio","99.837","100.099","101.766","0.360",
"Frankfrut","Oregon","139.071","139.104","139.227","0.018",
"Frankfrut","Osaka","228.840","228.960","229.115","0.081",
"Frankfrut","Paris","9.482","9.505","10.070","0.020",
"Frankfrut","Saopaulo","202.714","202.736","203.146","0.015",
"Frankfrut","Seoul","230.657","230.684","230.877","0.014",
"Frankfrut","Singapore","158.412","158.441","159.782","0.039",
"Frankfrut","Spain","23.529","24.039","27.199","1.114",
"Frankfrut","Stockholm","20.345","20.370","20.549","0.010",
"Frankfrut","Sydney","248.377","248.410","249.411","0.043",
"Frankfrut","Tokyo","226.260","226.285","226.976","0.036",
"Frankfrut","Zurich","6.506","6.541","7.184","0.020",
"Hongkong","Canada","189.929","196.291","198.082","0.415",
"Hongkong","Capetown","236.983","242.907","245.704","1.783",
"Hongkong","Frankfrut","189.069","190.954","193.761","1.578",
"Hongkong","Hongkong","0.109","0.177","2.497","0.128",
"Hongkong","Ireland","233.865","233.914","236.166","0.108",
"Hongkong","London","206.950","207.843","210.717","0.778",
"Hongkong","Milan","183.544","184.387","190.681","1.680",
"Hongkong","N.California","154.341","154.701","164.643","0.442",
"Hongkong","N.Virginia","183.115","187.798","216.240","5.065",
"Hongkong","Ohio","184.065","184.595","226.880","1.260",
"Hongkong","Oregon","139.888","144.116","158.905","1.295",
"Hongkong","Osaka","47.221","47.919","52.490","0.484",
"Hongkong","Paris","198.361","199.722","202.410","1.294",
"Hongkong","Saopaulo","296.094","300.078","303.439","2.580",
"Hongkong","Seoul","37.823","38.168","39.710","0.154",
"Hongkong","Singapore","33.517","34.855","38.096","1.692",
"Hongkong","Spain","210.827","214.068","217.182","1.956",
"Hongkong","Stockholm","209.990","211.827","214.919","1.190",
"Hongkong","Sydney","125.840","125.905","127.685","0.127",
"Hongkong","Tokyo","54.322","54.583","56.122","0.226",
"Hongkong","Zurich","184.929","184.976","186.232","0.077",
"Ireland","Canada","67.780","67.812","68.789","0.029",
"Ireland","Capetown","156.655","156.687","156.939","0.014",
"Ireland","Frankfrut","22.767","23.451","25.893","0.875",
"Ireland","Hongkong","213.790","223.460","266.240","8.014",
"Ireland","Ireland","0.126","0.155","0.328","0.014",
"Ireland","London","13.222","13.252","14.361","0.044",
"Ireland","Milan","35.388","35.427","36.421","0.046",
"Ireland","N.California","128.747","128.775","129.280","0.030",
"Ireland","N.Virginia","67.552","67.573","68.014","0.020",
"Ireland","Ohio","77.026","77.054","77.166","0.010",
